Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Low,12,52,1,5,0,0,0,1,2,0,0,7,4,2,0,1,3,1,34,1,School,Low
High,13,52,0,5,1,0,1,1,0,0,1,25,0,1,0,1,0,1,34,1,College,Medium
Low,23,0,4,4,2,2,0,1,0,1,0,17,5,1,2,1,4,0,11,0,School,High
Low,33,1,1,5,1,1,0,1,1,0,2,13,6,2,0,0,4,0,11,0,Higher,Medium
Low,43,57,0,0,2,1,0,0,1,2,1,14,4,1,2,1,1,1,40,1,College,High
Medium,25,18,3,6,2,2,1,1,1,2,0,20,2,2,0,0,2,0,24,1,School,High
Low,20,61,2,3,2,0,1,0,1,2,0,10,1,1,1,1,1,0,32,1,School,High
High,27,11,4,0,0,0,1,0,2,1,0,7,2,2,1,0,4,0,24,1,School,Low
Low,47,25,1,0,0,0,1,0,2,2,0,14,5,0,1,1,3,0,26,1,School,Low
Low,35,26,3,4,1,0,0,0,0,1,0,21,3,1,2,1,2,0,15,0,School,Medium
Low,39,28,2,3,0,2,1,1,2,2,1,17,6,1,2,1,4,0,35,1,College,Low
Low,1,14,2,5,0,1,0,0,0,1,0,20,1,1,2,0,2,1,10,0,School,Low
Medium,41,45,3,3,1,1,0,1,1,2,2,28,0,0,2,0,3,0,37,1,Higher,Medium
Low,8,0,1,5,2,0,0,0,0,0,2,18,4,1,2,0,0,1,8,0,Higher,High
High,22,59,2,2,2,2,1,0,0,2,0,29,1,0,2,0,0,2,36,1,School,High
High,14,56,4,1,1,0,0,0,2,2,1,9,3,0,0,0,4,0,31,1,College,Medium
Medium,12,2,0,4,0,0,1,1,0,2,0,8,6,0,1,1,4,1,11,0,School,Low
Low,22,17,4,5,1,2,1,0,1,0,0,1,2,2,2,0,1,0,10,0,School,Medium
Low,16,51,2,5,1,2,1,1,1,1,0,20,6,2,0,1,4,2,24,1,School,Medium
Low,47,59,0,3,0,1,1,0,1,1,1,2,3,1,0,0,0,1,43,2,College,Low
High,59,33,3,4,1,1,1,0,1,0,0,0,0,0,2,0,0,2,49,2,School,Medium
Low,1,59,0,6,0,0,1,0,2,0,1,28,4,1,1,0,1,2,29,1,College,Low
Medium,19,25,0,5,0,0,1,1,0,1,1,14,6,2,2,1,3,2,23,1,College,Low
Medium,19,18,0,2,1,1,0,1,0,1,2,18,4,1,1,0,2,0,21,1,Higher,Medium
Medium,58,21,2,0,2,2,1,1,0,1,0,7,0,0,1,1,0,1,30,1,School,High
Medium,45,32,1,5,0,0,0,0,0,1,1,18,4,0,2,1,2,0,35,1,College,Low
Medium,2,37,2,3,2,0,1,0,1,1,2,0,1,0,1,1,4,0,20,0,Higher,High
Low,54,34,1,6,0,2,0,0,2,0,1,22,1,0,1,0,4,2,38,1,College,Low
Medium,11,66,3,2,2,0,0,0,0,1,2,17,0,1,1,0,3,0,33,1,Higher,High
High,39,9,3,4,1,2,0,1,0,1,1,9,0,0,2,0,2,1,28,1,College,Medium
High,1,14,3,5,0,0,0,0,2,2,1,8,3,2,1,1,0,1,25,1,College,Low
High,35,10,3,2,1,1,1,1,0,0,1,22,4,0,1,0,1,2,28,1,College,Medium
Low,13,23,3,2,1,1,0,1,2,0,1,9,6,2,0,0,0,0,14,0,College,Medium
Medium,15,3,4,6,1,0,1,1,0,1,0,22,5,1,2,0,2,0,17,0,School,Medium
Low,18,12,2,2,0,1,1,0,2,2,0,0,2,1,1,0,2,2,15,0,School,Low
Low,33,56,1,2,1,0,1,1,0,2,1,16,0,1,2,0,0,0,30,1,College,Medium
Medium,43,36,3,6,1,0,0,1,1,1,1,6,3,1,2,0,0,2,36,1,College,Medium
Low,45,47,4,6,0,0,1,1,0,2,1,14,0,2,0,1,3,0,43,2,College,Low
Low,5,0,4,6,1,0,0,0,1,1,0,17,6,2,0,0,4,1,3,0,School,Medium
Low,12,59,4,2,0,0,1,1,2,0,1,8,0,0,1,1,3,2,28,1,College,Low
Low,35,11,2,2,1,0,0,1,1,2,2,15,1,0,1,0,0,2,4,0,Higher,Medium
Low,21,20,3,1,2,0,1,1,0,1,0,7,5,1,1,0,0,0,10,0,School,High
Medium,17,10,4,4,1,1,0,1,1,1,0,3,4,1,2,0,1,1,26,1,School,Medium
Medium,11,43,4,0,2,1,0,1,1,1,0,19,5,2,0,1,4,1,27,1,School,High
Low,51,57,3,4,0,2,1,1,0,0,0,1,0,2,0,1,1,2,42,2,School,Low
High,58,43,2,3,2,2,1,0,2,2,2,1,4,1,1,0,4,2,50,2,Higher,High
Medium,53,33,4,3,0,0,0,1,1,0,0,12,3,1,0,1,4,1,32,1,School,Low
High,29,24,1,6,1,0,0,0,0,0,2,14,0,2,2,0,2,0,28,1,Higher,Medium
Low,52,3,0,4,2,0,0,0,1,2,2,19,5,2,1,0,4,2,11,0,Higher,High
Medium,50,63,0,2,1,1,0,0,2,0,2,0,2,2,0,0,0,0,48,2,Higher,Medium
Low,39,15,0,1,2,1,0,0,2,1,0,28,5,1,1,1,4,0,22,1,School,High
Low,6,9,2,0,0,0,0,1,2,2,1,26,1,2,2,1,3,0,1,0,College,Low
Low,31,65,4,5,0,0,1,0,1,0,1,23,2,2,2,1,2,1,46,2,College,Low
Medium,47,34,0,5,0,2,1,1,0,2,0,15,1,0,1,1,1,0,39,1,School,Low
Medium,18,5,0,2,0,1,0,1,2,0,0,1,0,2,1,1,4,0,16,0,School,Low
Low,5,18,3,4,1,0,1,1,0,1,2,28,5,0,0,0,1,2,5,0,Higher,Medium
Low,19,58,4,5,1,0,0,0,2,0,0,16,0,0,2,1,0,2,30,1,School,Medium
Low,26,52,4,4,1,2,1,1,1,2,1,22,4,1,2,0,1,1,29,1,College,Medium
High,52,7,3,1,1,1,0,1,1,0,1,28,1,1,1,1,4,2,28,1,College,Medium
High,42,9,4,1,1,1,0,0,2,1,1,13,3,1,0,1,1,2,27,1,College,Medium
Medium,36,66,1,6,0,2,1,1,0,1,1,14,2,1,1,1,0,0,50,2,College,Low
High,47,37,2,4,1,2,1,1,0,1,2,10,5,2,1,0,4,1,44,2,Higher,Medium
Low,6,28,3,6,1,2,1,1,2,0,0,13,3,2,1,0,1,1,16,0,School,Medium
High,58,14,0,2,1,2,0,0,1,2,1,20,1,2,2,0,1,2,31,1,College,Medium
High,4,22,4,6,0,1,1,1,0,0,2,3,3,0,1,1,0,1,28,1,Higher,Low
Low,10,45,1,2,0,0,0,1,0,0,0,17,1,1,1,1,3,1,21,1,School,Low
Medium,14,27,1,2,0,2,1,1,1,0,2,16,4,2,0,1,3,2,21,1,Higher,Low
Medium,2,25,2,5,0,0,1,1,0,2,1,27,4,2,1,0,2,1,23,1,College,Low
Low,57,9,1,0,1,0,1,0,2,1,1,5,3,1,0,0,0,1,17,0,College,Medium
High,4,46,4,0,1,1,0,0,1,1,1,7,6,0,1,0,3,1,32,1,College,Medium
High,22,3,4,2,2,0,0,0,2,1,0,14,6,0,2,1,1,2,21,1,School,High
Low,52,54,1,4,1,2,1,1,1,2,1,12,3,1,1,1,0,1,34,1,College,Medium
High,36,65,4,1,0,0,0,1,2,0,0,26,5,1,2,1,1,0,55,3,School,Low
Low,8,66,4,6,0,0,0,1,2,0,2,3,6,2,1,1,1,0,31,1,Higher,Low
High,14,6,0,3,1,0,1,0,2,0,0,16,1,0,2,1,2,2,16,0,School,Medium
Low,2,54,3,1,2,2,1,0,0,2,2,17,4,1,2,0,2,2,15,0,Higher,High
High,28,30,4,1,0,1,1,1,0,0,0,3,5,0,1,1,4,0,33,1,School,Low
High,5,18,4,3,2,1,1,1,2,2,0,16,3,0,0,0,0,1,29,1,School,High
Medium,16,27,2,2,0,0,0,1,2,1,0,1,5,2,2,0,3,2,23,1,School,Low
Medium,25,27,3,1,0,0,1,0,1,1,2,20,1,2,2,0,2,2,23,1,Higher,Low
High,20,18,3,3,1,1,0,1,0,2,0,24,1,1,1,0,0,1,23,1,School,Medium
Medium,7,19,3,6,0,0,1,0,2,1,0,12,3,0,0,1,2,2,23,1,School,Low
High,20,12,1,5,2,0,1,0,0,2,2,2,2,2,2,1,3,1,16,0,Higher,High
Low,56,42,0,4,2,2,1,1,1,0,0,28,5,2,1,0,2,2,42,2,School,High
Low,10,10,0,4,1,0,1,1,2,1,0,29,0,0,2,0,4,0,5,0,School,Medium
High,37,47,2,4,0,1,1,1,0,1,2,14,1,0,1,0,0,0,48,2,Higher,Low
High,7,14,3,2,2,2,1,0,1,0,2,9,4,0,1,0,0,2,15,0,Higher,High
High,41,16,3,1,1,1,0,1,2,0,2,27,6,0,0,1,1,1,35,1,Higher,Medium
Medium,23,53,4,1,2,2,0,0,0,2,0,14,5,2,1,1,4,0,26,1,School,High
High,34,49,1,0,1,2,0,0,1,1,2,25,0,2,0,1,2,0,37,1,Higher,Medium
Low,54,27,1,4,2,0,0,1,1,0,2,2,1,1,1,1,1,2,35,1,Higher,High
Low,13,3,2,2,0,0,0,1,0,1,2,0,5,0,1,0,2,0,0,0,Higher,Low
Low,54,21,0,3,2,1,0,0,2,1,2,23,2,1,2,1,4,1,26,1,Higher,High
High,13,38,3,2,2,0,0,0,0,1,0,10,0,2,0,0,1,1,26,1,School,High
Low,9,33,2,1,1,2,1,1,1,1,1,4,4,0,2,0,3,0,15,0,College,Medium
Medium,11,43,1,6,1,0,0,0,1,2,1,25,0,1,0,1,0,2,36,1,College,Medium
Low,37,41,1,6,1,1,1,1,2,0,2,2,5,1,0,1,4,1,31,1,Higher,Medium
Low,43,39,1,6,2,2,0,1,0,1,0,10,6,1,2,0,4,1,33,1,School,High
Medium,54,11,3,4,1,1,0,1,2,0,1,0,3,2,0,1,2,1,30,1,College,Medium
Medium,45,1,3,0,0,0,1,1,2,0,2,14,1,2,0,0,3,0,24,1,Higher,Low
Low,33,27,3,5,1,2,1,0,1,2,1,6,6,1,2,1,3,1,22,1,College,Medium
High,40,66,4,2,1,1,1,1,0,2,1,24,3,2,0,0,4,1,55,3,College,Medium
High,9,9,0,0,0,0,1,1,0,1,2,27,2,2,2,1,4,0,17,0,Higher,Low
Medium,57,56,1,6,1,0,1,0,1,1,2,1,0,1,1,1,0,0,52,3,Higher,Medium
High,16,36,1,1,1,1,0,0,1,2,1,15,3,1,2,0,3,0,34,1,College,Medium
High,16,63,4,3,2,2,1,1,0,0,2,18,2,0,0,1,4,2,42,2,Higher,High
Medium,2,39,1,2,2,1,1,1,2,0,1,25,3,1,1,0,0,2,24,1,College,High
Low,30,59,1,5,1,0,1,0,2,2,1,29,4,0,1,0,2,0,37,1,College,Medium
Low,50,47,3,1,0,1,0,0,0,1,1,3,3,0,1,1,3,2,39,1,College,Low
High,0,18,3,4,1,0,1,1,2,1,1,0,1,1,2,1,1,1,20,0,College,Medium
Medium,11,32,0,2,1,0,1,0,2,1,0,8,5,2,2,0,1,2,28,1,School,Medium
Medium,38,43,1,0,1,1,1,0,1,2,0,14,3,0,1,1,4,2,40,1,School,Medium
High,3,36,2,6,2,2,0,0,2,2,2,22,3,0,0,0,4,1,33,1,Higher,High
Medium,41,35,1,2,0,1,1,0,1,0,0,5,3,0,0,0,0,0,41,2,School,Low
Low,12,20,1,1,0,0,0,1,2,2,0,13,6,2,1,1,4,1,8,0,School,Low
High,33,1,0,1,0,2,0,1,0,1,2,8,3,2,0,0,4,1,20,0,Higher,Low
Medium,41,30,2,6,2,0,1,1,1,0,1,1,3,0,0,1,0,1,29,1,College,High
Medium,20,29,1,0,2,1,0,1,0,1,0,8,0,2,2,0,1,0,27,1,School,High
Medium,21,43,2,5,1,0,0,0,1,1,0,12,0,0,0,1,0,2,31,1,School,Medium
Low,56,11,3,1,2,1,0,0,2,0,0,14,5,0,2,1,3,1,26,1,School,High
Medium,3,50,3,2,1,0,0,0,0,1,0,20,6,2,1,1,3,1,24,1,School,Medium
Low,17,48,2,6,2,0,0,0,1,0,1,29,4,1,0,1,4,2,27,1,College,High
Low,4,23,1,5,1,0,0,1,0,1,0,25,0,0,0,1,4,2,13,0,School,Medium
Medium,18,23,2,0,2,1,1,1,0,1,0,23,2,0,2,1,1,1,16,0,School,High
High,1,59,2,1,0,1,0,0,2,0,0,11,1,0,2,0,1,1,36,1,School,Low
Low,11,10,3,6,1,1,0,1,1,1,0,9,3,0,1,1,2,1,9,0,School,Medium
Low,16,12,2,1,2,2,1,1,2,1,0,28,3,0,1,1,3,2,6,0,School,High
High,9,63,4,2,2,0,0,0,0,0,2,4,3,2,0,1,3,1,37,1,Higher,High
Low,33,19,4,1,1,0,1,1,1,0,1,24,4,2,2,0,2,0,21,1,College,Medium
Low,5,27,3,6,2,1,1,1,0,0,2,11,4,0,2,0,2,2,13,0,Higher,High
High,7,1,1,2,0,0,0,0,0,2,0,14,2,2,0,1,3,0,13,0,School,Low
Low,50,42,1,4,1,2,0,0,1,1,0,0,6,1,2,0,4,2,29,1,School,Medium
High,10,7,3,6,1,0,0,0,0,0,2,23,3,1,2,0,3,1,18,0,Higher,Medium
Medium,56,12,1,5,1,1,1,1,1,1,0,3,4,2,2,1,2,2,29,1,School,Medium
High,11,34,0,2,1,0,0,0,1,0,1,12,3,2,2,1,1,2,26,1,College,Medium
Medium,8,22,4,3,1,0,1,0,1,1,1,18,0,0,0,0,0,1,15,0,College,Medium
High,1,45,0,1,0,1,0,1,0,1,1,1,3,0,1,1,1,2,34,1,College,Low
Medium,7,14,0,4,1,0,0,1,2,0,2,10,2,1,1,1,1,1,13,0,Higher,Medium
Medium,57,1,0,5,0,0,0,0,0,0,2,28,2,2,0,1,2,1,35,1,Higher,Low
High,10,60,3,0,0,2,1,1,0,2,1,25,4,2,1,1,3,2,40,1,College,Low
Medium,59,63,0,3,0,1,1,1,1,0,2,22,3,1,2,1,2,0,55,3,Higher,Low
Low,52,51,2,0,1,1,0,0,2,0,2,27,2,1,0,0,2,1,36,1,Higher,Medium
High,35,35,1,6,0,0,1,0,1,0,0,3,0,2,1,1,4,1,41,2,School,Low
High,9,66,3,3,1,0,0,1,0,2,2,18,6,1,2,0,4,1,41,2,Higher,Medium
Low,20,68,2,4,0,1,1,0,2,1,2,6,4,2,1,0,0,1,41,2,Higher,Low
Low,19,66,2,5,1,0,1,1,1,2,1,8,0,1,0,1,4,0,31,1,College,Medium
Medium,47,46,4,4,2,1,0,1,0,1,0,1,2,1,1,0,0,1,42,2,School,High
High,7,1,4,4,2,0,0,1,0,0,1,3,5,1,1,0,1,0,13,0,College,High
High,35,43,2,3,0,2,1,1,2,0,0,13,4,0,1,1,1,0,39,1,School,Low
Medium,28,63,4,2,2,1,1,0,0,0,0,17,3,0,0,1,2,1,40,1,School,High
Low,41,27,1,5,0,2,1,1,0,2,2,0,5,0,2,1,1,2,23,1,Higher,Low
Medium,11,53,1,0,0,0,0,0,0,2,2,2,1,1,0,0,4,0,38,1,Higher,Low
Medium,13,66,4,2,0,0,0,1,0,0,1,0,3,0,1,1,4,2,40,1,College,Low
Medium,47,35,0,2,2,2,1,1,2,2,0,20,6,1,0,0,4,1,39,1,School,High
Medium,53,62,2,1,0,0,0,0,0,0,1,22,3,0,1,0,3,2,55,3,College,Low
Low,49,24,1,6,2,0,1,0,0,2,2,29,0,2,2,0,4,2,24,1,Higher,High
High,20,47,4,0,2,0,0,1,0,0,0,21,3,1,2,0,2,1,35,1,School,High
Low,21,38,4,3,1,0,0,1,2,2,2,25,1,0,1,1,2,2,21,1,Higher,Medium
Medium,20,46,1,6,2,0,1,0,2,1,0,12,4,0,0,1,1,1,31,1,School,High
Medium,43,20,1,1,1,0,0,0,1,0,1,13,4,1,1,1,0,2,22,1,College,Medium
High,49,29,0,1,0,0,1,0,2,2,2,14,5,1,0,1,3,0,42,2,Higher,Low
Medium,29,30,4,6,0,2,0,1,0,2,2,10,1,1,0,1,0,1,35,1,Higher,Low
Low,38,25,4,4,1,1,1,0,2,0,0,18,0,1,1,1,3,2,21,1,School,Medium
Low,19,21,3,3,0,1,0,1,2,2,1,1,5,1,2,0,2,0,25,1,College,Low
Medium,23,20,0,2,1,1,0,0,2,1,0,28,1,1,2,0,2,0,17,0,School,Medium
High,22,0,1,5,1,1,0,0,0,1,0,2,4,1,0,1,3,2,15,0,School,Medium
High,6,36,1,2,0,2,1,0,1,2,0,3,5,2,1,1,1,2,28,1,School,Low
Medium,8,45,2,2,1,2,1,1,1,0,2,8,1,0,1,1,4,2,21,1,Higher,Medium
Medium,0,8,1,4,1,1,0,0,1,2,0,10,0,2,1,0,4,0,9,0,School,Medium
Low,25,16,4,2,1,0,0,0,1,2,0,22,5,1,2,0,0,1,17,0,School,Medium
Low,37,46,1,0,0,1,1,1,2,1,1,14,3,2,2,0,2,2,34,1,College,Low
Medium,37,58,4,2,0,0,1,0,1,2,0,25,3,1,0,1,4,0,44,2,School,Low
Medium,53,53,4,2,0,0,0,1,2,0,1,21,6,0,2,1,2,2,53,3,College,Low
High,43,11,0,0,0,2,0,1,2,1,1,25,4,0,2,0,2,0,30,1,College,Low
High,21,63,1,4,0,0,1,1,1,2,2,8,6,0,1,1,2,2,54,3,Higher,Low
Medium,43,5,0,1,2,2,1,0,0,0,2,17,0,2,1,1,4,2,25,1,Higher,High
Medium,9,52,4,3,2,1,1,0,1,1,2,15,3,0,2,0,4,2,34,1,Higher,High
Low,54,15,1,4,1,2,0,1,1,0,0,8,3,1,0,1,4,2,23,1,School,Medium
Low,57,4,1,2,2,0,0,1,2,0,2,6,3,0,1,0,3,2,11,0,Higher,High
Low,5,45,0,1,0,0,1,1,2,0,1,27,2,2,0,0,4,1,17,0,College,Low
High,16,13,0,3,0,0,1,0,1,2,2,7,3,0,2,0,2,0,26,1,Higher,Low
High,50,43,4,3,0,1,0,1,1,1,0,2,2,0,2,1,2,2,53,3,School,Low
Low,49,62,4,3,1,2,0,1,0,2,2,0,1,2,1,0,0,2,43,2,Higher,Medium
High,37,51,1,0,1,1,0,0,0,1,1,3,4,2,1,1,1,2,42,2,College,Medium
Low,23,25,1,0,1,2,0,0,0,0,2,17,4,2,1,1,3,0,17,0,Higher,Medium
High,50,52,3,1,1,1,1,1,2,0,0,0,5,1,1,1,0,0,51,3,School,Medium
Medium,9,28,3,2,1,1,0,1,0,2,2,3,5,0,2,1,3,1,16,0,Higher,Medium
Low,55,18,2,6,1,0,0,1,2,0,0,7,2,1,2,1,3,0,33,1,School,Medium
High,7,46,4,1,2,1,0,1,2,0,0,28,0,1,1,0,2,2,31,1,School,High
Medium,20,7,2,2,0,1,1,0,1,0,0,17,5,2,0,1,2,0,18,0,School,Low
Low,55,22,2,4,2,2,1,1,0,1,0,26,5,1,1,0,2,2,29,1,School,High
Low,5,34,0,6,1,1,1,0,1,1,0,26,2,0,1,1,2,1,16,0,School,Medium
High,20,52,0,3,0,0,0,0,1,2,2,11,6,2,1,1,0,1,50,2,Higher,Low
Low,56,57,3,3,0,1,0,1,2,1,2,25,3,1,0,0,1,1,48,2,Higher,Low
High,38,4,2,0,0,2,0,0,0,0,0,22,5,0,1,1,1,1,23,1,School,Low
Low,23,15,3,6,2,2,0,1,1,0,0,16,6,0,2,0,0,2,13,0,School,High
Low,32,16,4,4,0,1,1,0,2,0,2,14,0,0,0,1,1,0,18,0,Higher,Low
Low,58,31,1,5,1,1,0,1,1,2,1,4,6,1,2,0,4,2,31,1,College,Medium
Low,17,51,0,4,1,2,1,0,0,0,2,25,4,2,0,0,4,1,24,1,Higher,Medium
Low,55,19,4,2,2,0,0,0,2,0,0,25,1,2,0,1,4,2,28,1,School,High
High,27,65,4,4,2,1,0,1,0,2,2,25,1,0,1,0,2,1,55,3,Higher,High
Medium,56,0,0,6,1,0,0,0,1,1,0,12,2,2,2,1,4,0,16,0,School,Medium
Low,51,57,0,6,2,0,0,0,2,1,2,12,5,2,0,0,3,0,43,2,Higher,High
Low,31,43,2,0,0,1,0,0,1,1,2,11,2,2,2,0,3,1,24,1,Higher,Low
Low,11,5,3,2,2,0,0,0,1,2,2,14,2,2,0,1,0,0,3,0,Higher,High
High,47,49,4,1,0,2,1,0,0,2,1,28,2,1,1,0,3,0,48,2,College,Low
High,41,19,2,2,0,0,1,0,2,0,2,11,6,2,0,1,0,0,44,2,Higher,Low
High,26,13,2,1,0,2,1,0,1,0,2,24,4,2,2,1,1,0,30,1,Higher,Low
Low,9,4,4,5,0,1,1,0,0,2,1,26,3,1,2,1,3,2,12,0,College,Low
Low,45,40,4,2,0,0,1,0,0,2,0,20,4,2,2,1,3,0,38,1,School,Low
Low,56,39,1,3,1,2,0,1,2,0,1,20,1,2,2,0,0,2,34,1,College,Medium
Low,51,33,3,5,1,2,0,0,1,0,1,28,6,2,0,0,3,1,35,1,College,Medium
Medium,41,44,4,1,1,0,1,0,2,0,1,23,1,0,0,0,0,2,42,2,College,Medium
Low,31,26,0,0,0,0,0,1,2,1,2,24,6,1,0,0,3,0,17,0,Higher,Low
High,41,43,1,5,2,2,0,0,1,1,0,20,1,2,0,1,2,2,45,2,School,High
High,25,32,3,5,2,2,0,0,2,0,2,10,3,1,1,0,1,1,32,1,Higher,High
High,24,32,0,5,0,0,0,1,2,2,0,9,3,1,0,0,3,2,37,1,School,Low
High,10,43,0,1,2,0,1,0,2,1,0,29,0,2,1,0,1,2,31,1,School,High
High,22,19,3,1,0,0,0,1,0,0,0,14,3,1,0,1,3,0,28,1,School,Low
Low,33,35,1,2,2,2,1,1,1,1,1,5,1,0,0,0,3,2,19,0,College,High
Low,56,6,0,3,0,0,1,0,2,2,0,17,3,1,0,0,2,1,19,0,School,Low
High,51,31,2,5,2,0,0,1,0,2,1,12,3,2,1,0,4,0,37,1,College,High
Medium,39,66,3,2,2,0,0,1,0,2,2,18,3,2,0,1,4,0,44,2,Higher,High
Low,22,38,3,2,1,0,0,0,2,0,2,11,2,0,0,0,1,2,21,1,Higher,Medium
High,28,23,4,3,2,0,1,0,1,0,0,4,6,2,0,0,1,2,29,1,School,High
Medium,30,69,1,2,2,0,0,1,0,1,2,20,5,0,2,0,2,2,47,2,Higher,High
Low,6,53,2,3,0,0,1,0,2,0,2,16,5,1,2,1,0,0,22,1,Higher,Low
High,39,37,2,0,2,2,0,1,1,0,0,2,3,1,2,1,1,2,38,1,School,High
High,32,31,4,3,2,2,1,1,1,0,2,16,2,1,1,1,4,0,30,1,Higher,High
Low,20,44,0,4,2,0,1,0,2,1,2,10,1,2,0,1,2,1,28,1,Higher,High
High,1,60,0,3,2,0,1,1,0,0,1,13,0,2,1,1,0,0,39,1,College,High
Medium,17,69,2,3,2,1,1,0,1,2,1,22,6,0,0,1,2,0,37,1,College,High
High,46,52,1,6,1,2,1,0,1,0,0,26,6,1,1,1,4,0,47,2,School,Medium
Low,32,50,0,4,2,1,1,0,1,0,1,22,4,0,2,0,2,1,36,1,College,High
High,36,55,3,3,0,2,1,0,1,2,2,12,5,0,0,1,3,0,52,3,Higher,Low
Medium,33,26,4,1,0,0,0,1,0,1,1,14,0,2,2,0,4,2,25,1,College,Low
High,19,37,1,6,2,1,1,0,0,0,1,13,6,1,2,1,0,2,36,1,College,High
High,34,61,0,2,2,1,0,0,2,0,0,9,4,0,0,1,2,0,54,3,School,High
Low,50,17,2,2,2,2,0,0,2,0,2,24,5,1,1,0,4,2,20,0,Higher,High
Low,49,63,4,0,1,2,0,1,0,0,0,18,1,2,2,1,4,2,41,2,School,Medium
Low,53,29,0,0,0,0,1,0,2,2,2,6,2,1,2,1,0,1,25,1,Higher,Low
Low,17,48,2,4,1,2,1,1,1,0,2,23,3,0,0,1,4,2,28,1,Higher,Medium
Low,45,40,0,1,1,2,0,1,0,1,2,18,2,0,0,1,0,1,29,1,Higher,Medium
Low,23,12,4,0,2,2,1,1,1,2,1,29,4,1,1,0,4,2,5,0,College,High
Medium,7,33,3,2,2,2,1,1,0,2,0,22,5,1,2,1,2,0,23,1,School,High
High,29,24,3,0,0,0,0,0,0,1,2,21,3,1,2,1,0,0,32,1,Higher,Low
Medium,43,65,2,0,2,0,0,0,2,0,1,14,4,0,1,0,0,1,50,2,College,High
Medium,52,17,3,3,0,0,0,1,0,0,0,25,6,0,0,0,4,1,32,1,School,Low
Low,9,4,4,0,1,1,0,1,2,0,1,14,4,0,0,1,3,1,0,0,College,Medium
Medium,22,18,2,4,0,1,0,0,0,1,1,23,5,1,0,1,0,1,27,1,College,Low
Medium,51,41,0,2,0,2,0,1,1,2,2,15,6,0,1,1,3,0,42,2,Higher,Low
High,48,17,1,4,0,0,0,1,1,0,0,5,3,1,0,0,1,2,41,2,School,Low
Low,10,31,0,6,1,0,1,1,1,1,1,21,0,0,0,0,2,0,11,0,College,Medium
High,1,20,4,4,1,0,1,0,1,1,1,12,0,0,1,0,3,1,22,1,College,Medium
Low,57,9,2,5,2,0,1,1,1,0,1,25,5,1,2,0,2,2,21,1,College,High
Low,25,36,0,1,2,1,0,1,1,1,1,4,5,2,2,1,0,0,17,0,College,High
Low,35,48,2,6,0,2,1,1,0,0,2,29,4,0,1,0,2,2,40,1,Higher,Low
High,32,12,3,6,0,0,0,0,2,0,2,22,1,2,0,0,3,0,34,1,Higher,Low
Medium,46,54,1,5,1,1,0,1,0,0,0,2,2,0,0,1,0,2,51,3,School,Medium
High,12,16,4,5,1,0,0,0,1,2,0,25,0,0,2,1,3,1,23,1,School,Medium
Low,39,8,0,3,1,1,1,0,1,1,2,15,3,0,0,1,0,2,24,1,Higher,Medium
Low,24,43,1,4,0,2,0,0,0,2,0,27,4,1,2,0,3,1,22,1,School,Low
Low,3,45,4,1,0,2,0,0,2,0,0,24,2,0,2,1,0,0,21,1,School,Low
High,41,7,4,2,1,2,0,1,2,1,2,8,5,2,0,1,3,0,25,1,Higher,Medium
Low,18,36,3,2,0,0,1,1,2,0,0,17,6,0,2,0,1,2,26,1,School,Low
High,17,18,2,1,1,2,1,0,2,1,1,17,2,0,2,0,3,2,24,1,College,Medium
Medium,36,62,2,6,2,2,0,1,1,0,2,12,4,0,1,0,3,1,49,2,Higher,High
Low,29,45,1,4,1,2,0,1,1,1,0,18,2,1,0,1,1,2,23,1,School,Medium
Low,18,25,3,4,0,2,0,0,2,0,0,20,1,1,1,1,2,2,19,0,School,Low
High,57,45,4,3,0,1,1,0,0,0,0,26,4,2,0,0,0,2,55,3,School,Low
Medium,22,45,3,3,0,1,0,1,0,2,2,4,5,1,0,1,3,2,35,1,Higher,Low
Medium,58,13,3,5,0,0,0,1,1,2,0,12,2,0,0,1,2,2,24,1,School,Low
Low,53,62,1,2,1,1,1,1,0,1,0,6,2,1,0,0,4,2,50,2,School,Medium
High,15,2,2,3,1,1,1,1,1,1,2,3,5,1,2,1,2,2,15,0,Higher,Medium
Low,0,27,3,1,2,1,1,0,1,2,0,12,0,0,1,1,4,1,10,0,School,High
High,11,28,3,2,1,1,1,0,2,0,1,17,2,0,1,0,0,1,35,1,College,Medium
Medium,23,17,3,6,2,1,1,0,2,0,1,7,2,1,2,1,4,2,19,0,College,High
Low,33,34,0,6,1,2,1,1,2,1,0,27,6,0,1,0,1,0,31,1,School,Medium
Medium,52,46,3,4,1,0,0,0,2,1,2,2,0,1,1,1,1,0,41,2,Higher,Medium
Medium,56,4,3,2,0,1,1,1,2,0,2,14,4,1,0,1,2,2,30,1,Higher,Low
High,7,58,4,0,2,1,1,0,2,2,0,16,6,0,0,1,1,2,41,2,School,High
Medium,17,58,0,2,0,0,0,1,0,1,2,1,0,2,0,1,1,2,43,2,Higher,Low
Medium,56,46,3,3,0,1,0,1,2,0,0,14,3,1,0,1,2,1,47,2,School,Low
